分组,方法,基准,模型,Agent,计划任务数,解决率(%),提升(pp),状态,来源,备注
A,ReasoningBank,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,24.9,3.5,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,5 次运行的平均解决率；仅报告均值；不展示解决数。
A,ReasoningBank,LoLBench100,待确认,待确认,100,,,待填（红色）,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,ReasoningBank,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,61.7,0.9,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
A,ACE,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,62.2,0.6,已提供,作者提供，2026-09-24，本对话,作者适配到 mini-SWE-agent；本列为独立的 Verified500 结果。
A,ACE,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,28.1,6.7,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,作者适配到 mini-SWE-agent；5 次运行的平均解决率；仅报告均值；不展示解决数。
A,ACE,LoLBench100,待确认,待确认,100,,,待填（红色）,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,ACE,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,62.8,2,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
A,Supermemory,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,63.6,2,已提供,作者提供，2026-09-24，本对话,本列为独立的 Verified500 结果；Verified150 实验另列。
A,Supermemory,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,26.5,5.1,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,5 次运行的平均解决率；仅报告均值；不展示解决数。
A,Supermemory,LoLBench100,待确认,待确认,100,,,建议新增（绿色）,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,Supermemory,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,66.2,5.4,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
A,ContextGraph,Verified500,DeepSeek V4 Pro 0813,mini-SWE-agent,500,69.2,7.6,已提供,作者提供，2026-09-24，本对话,本列为独立的 Verified500 结果；Verified150 实验另列。
A,ContextGraph,Related-Lite99,DeepSeek V4 Pro 0813,mini-SWE-agent,99,36.3,14.9,已提供（5 次均值）,作者提供并确认 5 次运行均值，2026-09-24，本对话,5 次运行的平均解决率；仅报告均值；不展示解决数。
A,ContextGraph,LoLBench100,待确认,待确认,100,,,待填（红色）,,同一基准统一模型、Agent、历史来源及首次尝试预算。
A,ContextGraph,DeepSWE113,DeepSeek V4 Pro 0813,mini-SWE-agent,113,72.1,11.3,已提供（5 次均值）,作者提供，2026-09-24，本对话,5 次运行平均解决率；仅报告百分比，不写标准差。
B,No memory,Related-Lite99,待确认,待确认,99,21.43,0,已提供；配置待确认,context_graph_v9_no_movie.pptx / slide 9,需确认模型、Agent、任务manifest、尝试预算。
B,Free summaries,Related-Lite99,待确认,待确认,99,19.39,-2.04,已提供；配置待确认,context_graph_v9_no_movie.pptx / slide 9,需确认模型、Agent、任务manifest、尝试预算。
B,Mem0,Related-Lite99,待确认,待确认,99,19.39,-2.04,已提供；配置待确认,context_graph_v9_no_movie.pptx / slide 9,需确认模型、Agent、任务manifest、尝试预算。
B,LangMem,Related-Lite99,待确认,待确认,99,24.49,3.06,已提供；配置待确认,context_graph_v9_no_movie.pptx / slide 9,需确认模型、Agent、任务manifest、尝试预算。
B,ContextGraph,Related-Lite99,待确认,待确认,99,,,解决率待确认,context_graph_v9_no_movie.pptx / slide 9,PPT原计数与34.69%不一致；解决率及增益待确认；原始记录保留在更新前快照。
C,ExpeRepair,Verified500,Claude 3.5 Sonnet,ExpeRepair pipeline,500,57.2,,公开参照,https://arxiv.org/html/2506.10484v2,Table 1；偶尔使用o4-mini故障回退；原论文预算与记忆设置。
C,ExpeRepair,Verified500,Claude 4 Sonnet,ExpeRepair pipeline,500,74.6,,公开参照,https://arxiv.org/html/2506.10484v2,Table 1；偶尔使用o4-mini故障回退；原论文预算与记忆设置。
C,ReasoningBank,Verified500,Gemini 2.5 Flash,mini-SWE-agent,500,38.8,,公开参照,https://arxiv.org/html/2509.25140,Table 2；原论文预算与记忆设置。
C,ReasoningBank,Verified500,Gemini 2.5 Pro,mini-SWE-agent,500,57.4,,公开参照,https://arxiv.org/html/2509.25140,Table 2；原论文预算与记忆设置。
C,No memory,Related-Lite99,Claude Sonnet 4.5,Claude Code,99,26.26,,公开参照,https://arxiv.org/html/2602.08316v3#S3.T4,Table 4；原论文预算与记忆设置。
C,Supermemory,Related-Lite99,Claude Sonnet 4.5,Claude Code,99,30.3,,公开参照,https://arxiv.org/html/2602.08316v3#S3.T4,Table 4；原论文预算与记忆设置。
C,Oracle summary,Related-Lite99,Claude Sonnet 4.5,Claude Code,99,34.34,,公开参照,https://arxiv.org/html/2602.08316v3#S3.T4,Table 4；提供已知相关历史摘要；原论文预算与记忆设置。
